ID,Bits,Name,Class,Type,Signed
1,4,uint,numeric,integer,FALSE
2,1,uint8,numeric,integer,FALSE
3,2,uint16,numeric,integer,FALSE
4,4,uint32,numeric,double,FALSE
5,8,uint64,numeric,double,FALSE
6,1,uchar,character,character,
7,1,uchar,character,character,
8,1,unsigned.char,character,character,
9,2,ushort,,,
10,4,int,numeric,integer,TRUE
11,1,int8,numeric,integer,TRUE
12,2,int16,numeric,integer,TRUE
13,4,int32,numeric,integer,TRUE
14,8,int64,numeric,integer,TRUE
15,1,integer*1,,,
16,2,integer*2,,,
17,4,integer*3,,,
18,8,integer*4,,,
19,1,schar,character,character,
20,1,signed.char,character,character,
21,2,short,numeric,numeric,TRUE
22,4,single,numeric,numeric,TRUE
23,8,double,numeric,numeric,TRUE
24,4,float,numeric,numeric,TRUE
25,4,float32,numeric,numeric,TRUE
26,8,float64,numeric,numeric,TRUE
27,4,real*4,,,
28,8,real*8,,,
29,1,char*1,character,character,
30,1,char,character,character,
